iter	Passed	Remaining
458	807	951
459	808	948
460	809	946
461	810	943
462	811	941
463	813	939
464	814	936
465	815	934
466	816	931
467	817	929
468	819	927
469	820	925
470	821	922
471	822	920
472	823	918
473	825	915
474	826	913
475	827	910
476	828	908
477	829	905
478	830	903
479	834	903
480	835	901
481	837	899
482	838	897
483	839	895
484	841	893
485	842	891
486	843	889
487	845	887
488	846	885
489	848	883
490	850	881
491	851	879
492	852	877
493	856	877
494	858	875
495	859	873
496	861	872
497	862	869
498	864	867
499	865	865
500	867	864
501	868	862
502	870	859
503	871	857
504	873	855
505	874	853
506	875	851
507	876	849
508	877	846
509	879	844
510	880	842
511	881	840
512	883	838
513	884	836
514	885	834
515	887	832
516	888	830
517	890	828
518	891	826
519	893	824
520	894	822
521	895	820
522	899	820
523	901	818
524	903	817
525	905	815
526	906	813
527	907	811
528	908	808
529	910	807
530	911	804
531	912	802
532	913	800
533	914	798
534	920	799
535	921	797
536	923	795
537	924	793
538	925	791
539	926	789
540	927	787
541	929	785
542	930	783
543	931	780
544	932	778
545	933	776
546	937	776
547	938	773
548	939	771
549	940	769
550	942	767
551	943	765
552	944	763
553	945	761
554	947	759
555	948	757
556	949	755
557	950	753
558	951	750
559	953	749
560	955	747
561	956	745
562	957	743
563	958	741
564	960	739
565	961	737
566	962	735
567	963	733
568	964	730
569	966	729
570	967	727
571	968	725
572	970	723
573	973	722
574	974	720
575	975	718
576	977	716
577	978	714
578	979	712
579	981	710
580	982	708
581	983	706
582	985	704
583	986	702
584	987	700
585	988	698
586	989	696
587	992	695
588	993	693
589	994	691
590	995	689
591	997	687
592	999	685
593	1000	684
594	1002	682
595	1004	680
596	1005	678
597	1006	676
598	1007	674
599	1010	673
600	1012	671
601	1013	670
602	1018	670
603	1021	669
604	1023	668
605	1024	666
606	1025	664
607	1027	662
608	1028	660
609	1030	658
610	1031	656
611	1032	654
612	1033	652
613	1035	650
614	1036	648
615	1038	647
616	1039	645
617	1040	643
618	1041	641
619	1043	639
620	1044	637
621	1045	635
622	1047	633
623	1048	631
624	1049	629
625	1050	627
626	1051	625
627	1053	623
628	1054	622
629	1055	620
630	1056	618
631	1058	616
632	1059	614
633	1060	612
634	1061	610
635	1062	608
636	1063	606
637	1065	604
638	1066	602
639	1067	600
640	1068	598
641	1069	596
642	1074	596
643	1075	594
644	1077	592
645	1078	590
646	1079	589
647	1080	587
648	1082	585
649	1083	583
650	1084	581
651	1085	579
652	1086	577
653	1088	575
654	1089	573
655	1090	571
656	1091	570
657	1092	568
658	1094	566
659	1097	565
660	1098	563
661	1100	561
662	1101	560
663	1103	558
664	1104	556
665	1105	554
666	1106	552
667	1107	550
668	1109	548
669	1110	546
670	1111	545
671	1112	543
672	1114	541
673	1115	539
674	1117	537
675	1118	535
676	1119	534
677	1120	532
678	1122	530
679	1123	528
680	1124	526
681	1125	524
682	1129	524
683	1130	522
684	1131	520
685	1132	518
686	1134	516
687	1135	514
688	1136	512
689	1137	510
690	1138	509
691	1139	507
692	1140	505
693	1142	503
694	1143	501
695	1144	499
696	1147	498
697	1148	496
698	1149	495
699	1150	493
700	1152	491
701	1153	489
702	1155	488
703	1156	486
704	1157	484
705	1158	482
706	1159	480
707	1161	478
708	1162	477
709	1163	475
710	1164	473
711	1165	471
712	1166	469
713	1168	467
714	1169	466
715	1181	468
716	1183	467
717	1184	465
718	1185	463
719	1186	461
720	1187	459
721	1189	457
722	1190	456
723	1191	454
724	1192	452
725	1193	450
726	1194	448
727	1196	447
728	1197	445
729	1199	443
730	1200	441
731	1201	439
732	1202	438
733	1203	436
734	1204	434
735	1206	432
736	1207	430
737	1212	430
738	1213	428
739	1216	427
740	1217	425
741	1218	423
742	1219	421
743	1221	420
744	1222	418
745	1223	416
746	1224	414
747	1225	412
748	1227	411
749	1228	409
750	1229	407
751	1230	405
752	1231	404
753	1236	403
754	1237	401
755	1239	399
756	1240	398
757	1241	396
758	1243	394
759	1244	392
760	1245	391
761	1246	389
762	1247	387
763	1249	385
764	1250	384
765	1253	383
766	1255	381
767	1256	379
768	1257	377
769	1259	376
770	1260	374
771	1261	372
772	1262	370
773	1264	369
774	1265	367
775	1266	365
776	1267	363
777	1268	362
778	1270	360
779	1272	358
780	1273	357
781	1274	355
782	1275	353
783	1277	351
784	1278	350
785	1280	348
786	1281	346
787	1283	345
788	1284	343
789	1285	341
790	1286	340
791	1288	338
792	1291	337
793	1292	335
794	1293	333
795	1295	332
796	1296	330
797	1297	328
798	1298	326
799	1299	324
800	1301	323
801	1302	321
802	1303	319
803	1304	318
804	1305	316
805	1311	315
806	1312	313
807	1314	312
808	1315	310
809	1317	308
810	1318	307
811	1319	305
812	1320	303
813	1322	302
814	1323	300
815	1324	298
816	1325	296
817	1326	295
818	1327	293
819	1329	291
820	1330	290
821	1331	288
822	1338	287
823	1339	286
824	1340	284
825	1342	282
826	1343	281
827	1345	279
828	1346	277
829	1348	276
830	1350	274
831	1351	272
832	1352	271
833	1354	269
834	1356	267
835	1357	266
836	1358	264
837	1360	263
838	1361	261
839	1362	259
840	1364	257
841	1365	256
842	1367	254
843	1368	252
844	1369	251
845	1370	249
846	1372	247
847	1375	246
848	1376	244
849	1377	243
850	1379	241
851	1380	239
852	1381	238
853	1382	236
854	1383	234
855	1385	233
856	1387	231
857	1388	229
858	1389	228
859	1390	226
860	1393	224
861	1394	223
862	1396	221
863	1397	220
864	1399	218
865	1404	217
866	1405	215
867	1406	213
868	1408	212
869	1410	210
870	1411	209
871	1413	207
872	1414	205
873	1415	204
874	1417	202
875	1418	200
876	1420	199
877	1421	197
878	1422	195
879	1424	194
880	1425	192
881	1427	190
882	1428	189
883	1430	187
884	1431	186
885	1432	184
886	1434	182
887	1435	181
888	1436	179
889	1437	177
890	1440	176
891	1442	174
892	1444	173
893	1445	171
894	1446	169
895	1448	168
896	1449	166
897	1450	164
898	1452	163
899	1453	161
900	1454	159
901	1456	158
902	1457	156
903	1458	154
904	1460	153
905	1461	151
906	1465	150
907	1466	148
908	1468	147
909	1469	145
910	1470	143
911	1471	142
912	1473	140
913	1474	138
914	1475	137
915	1476	135
916	1478	133
917	1482	132
918	1483	130
919	1484	129
920	1486	127
921	1488	125
922	1489	124
923	1490	122
924	1491	120
925	1493	119
926	1494	117
927	1495	116
928	1496	114
929	1498	112
930	1499	111
931	1500	109
932	1501	107
933	1502	106
934	1504	104
935	1505	102
936	1507	101
937	1508	99
938	1509	98
939	1510	96
940	1512	94
941	1513	93
942	1514	91
943	1515	89
944	1517	88
945	1518	86
946	1519	85
947	1520	83
948	1522	81
949	1524	80
950	1525	78
951	1526	76
952	1527	75
953	1529	73
954	1530	72
955	1531	70
956	1532	68
957	1534	67
958	1535	65
959	1536	64
960	1537	62
961	1538	60
962	1539	59
963	1544	57
964	1546	56
965	1547	54
966	1549	52
967	1550	51
968	1551	49
969	1553	48
970	1554	46
971	1555	44
972	1556	43
973	1557	41
974	1560	40
975	1562	38
976	1563	36
977	1565	35
978	1566	33
979	1567	31
980	1568	30
981	1569	28
982	1571	27
983	1572	25
984	1573	23
985	1574	22
986	1576	20
987	1578	19
988	1579	17
989	1580	15
990	1581	14
991	1582	12
992	1584	11
993	1585	9
994	1586	7
995	1587	6
996	1588	4
997	1590	3
998	1592	1
999	1593	0
